Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C19",C_Disc_D5.0mm_W2.5mm_P2.50mm,3,10 uF,C88726 
"C10, C11, C12, C13, C14, C15, C16, C17, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C6, C7, C8, C9",0603,49,100 nF,C1525
C53,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,47 uF,C503214
"J1, J2, J5, J6, J71",PinHeader_1x16_P2.54mm_Vertical,5,Conn_01x16_Pin,
"R1, R2, R3, R4, R5, R6, R7, R8",0402,8,50,C25120 
"R10, R13, R16, R19, R22, R25, R28, R31, R34, R37, R40, R43, R46, R49, R52, R55",0402,16,5 kOhm,
"R11, R14, R17, R20, R23, R26, R29, R32, R35, R38, R41, R44, R47, R50, R53, R56",0402,16,1 kOhm,C11702 
"R12, R15, R18, R21, R24, R27, R30, R33, R36, R39, R42, R45, R48, R51, R54, R73, R74, R75, R76, R77, R78, R79, R80, R9",0402,24,10 kOhm,C25744
"R121, R122, R123, R124, R125, R126, R127, R128, R129, R130, R131, R132, R133, R134, R135, R136",0402,16,10 MOhm,
"R137, R138, R139, R140, R141, R142, R143, R144, R145, R146, R147, R148, R149, R150, R151, R152",0402,16,1 MOhm,C26083 
"R153, R154, R155, R156, R157, R158, R159, R160, R161, R162, R163, R164, R165, R166, R167, R168",0402,16,100 kOhm,C25741 
"R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72",0402,16,100 Ohm,
"U1, U2, U3, U4, U5, U6, U7, U8",SOIC-16_3.9x9.9mm_P1.27mm,8,74HC595, C5947
"U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U20, U21, U22, U23, U24, U9",SOIC-16_3.9x9.9mm_P1.27mm,16,4051,C21379
U25,TO-220-3_Vertical,1,L7805,C3795
"U26, U27, U28, U29",SOIC-14_3.9x8.7mm_P1.27mm,4,TL074,C6963 
U30,SOIC-8_3.9x4.9mm_P1.27mm,1,ICL7660,
