Designator,Mid X,Mid Y,Rotation,Layer
C1,177.059643,-122.5625,0.0,top
C10,218.244337,-72.1425,90.0,top
C11,170.784643,-72.075,90.0,top
C12,194.45199,-87.95,90.0,top
C13,218.281837,-88.075,90.0,top
C14,241.8,-88.0125,90.0,top
C15,194.32699,-72.09875,90.0,top
C16,241.949184,-72.2925,90.0,top
C17,253.895357,-72.13625,90.0,top
C18,166.3,-133.675,0.0,top
C19,169.625,-123.45,270.0,top
C2,230.02801,-88.1625,90.0,top
C20,189.535893,-45.1625,90.0,top
C21,189.560893,-57.1125,270.0,top
C22,201.710893,-45.0125,270.0,top
C23,201.785893,-57.1375,270.0,top
C24,217.160893,-44.8875,90.0,top
C25,228.860893,-44.8375,90.0,top
C26,228.813393,-56.7875,270.0,top
C27,217.185893,-56.7875,270.0,top
C28,167.125,-122.7,90.0,top
C29,222.87801,-83.78625,270.0,top
C3,206.285663,-88.075,90.0,top
C30,211.025,-83.95,270.0,top
C31,234.736684,-99.85,270.0,top
C32,163.647143,-99.6375,270.0,top
C33,163.659643,-83.9225,270.0,top
C34,222.85301,-99.7625,270.0,top
C35,175.505816,-83.83625,270.0,top
C36,199.210663,-99.85,270.0,top
C37,175.505816,-99.5825,270.0,top
C38,234.749184,-83.705,270.0,top
C39,211.031837,-99.85,270.0,top
C4,230.02801,-72.21125,90.0,top
C40,246.570357,-99.68125,270.0,top
C41,187.35199,-99.975,270.0,top
C42,246.570357,-83.86125,270.0,top
C43,199.173163,-84.06125,270.0,top
C44,187.30199,-83.89875,270.0,top
C45,164.129643,-105.4475,90.0,top
C46,175.981173,-105.3725,90.0,top
C47,199.684235,-105.4225,90.0,top
C48,211.498266,-105.435,90.0,top
C49,247.077857,-105.3725,90.0,top
C5,170.797143,-88.2875,90.0,top
C50,223.387296,-105.4225,90.0,top
C51,235.226327,-105.4475,90.0,top
C52,187.845205,-105.4725,90.0,top
C53,188.629643,-125.8275,90.0,top
C6,206.273163,-71.93625,90.0,top
C7,182.730816,-88.3325,90.0,top
C8,182.755816,-72.16125,90.0,top
C9,253.795357,-88.24375,90.0,top
J1,209.100893,-39.4625,90.0,top
J2,207.744643,-135.0375,90.0,top
J5,209.100893,-65.7875,90.0,top
J6,207.744643,-131.4125,90.0,top
J71,209.100893,-61.8875,90.0,top
R1,203.774643,-128.2525,90.0,top
R10,164.209643,-79.6875,90.0,top
R11,164.159643,-77.1375,270.0,top
R12,164.147143,-91.1525,90.0,top
R121,172.559643,-78.4875,270.0,top
R122,172.547143,-94.3275,270.0,top
R123,184.405816,-78.30125,270.0,top
R124,184.405816,-94.4475,270.0,top
R125,196.25199,-78.07375,270.0,top
R126,196.22699,-93.965,270.0,top
R127,208.048163,-78.05125,270.0,top
R128,208.085663,-93.99,270.0,top
R129,219.894337,-78.01,270.0,top
R13,164.072143,-96.1375,90.0,top
R130,219.956837,-94.115,270.0,top
R131,231.77801,-78.25125,270.0,top
R132,231.80301,-94.1875,270.0,top
R133,243.624184,-78.395,270.0,top
R134,243.586684,-94.05,270.0,top
R135,255.495357,-78.15125,270.0,top
R136,255.495357,-94.54625,270.0,top
R137,172.559643,-76.4375,90.0,top
R138,172.547143,-92.3375,90.0,top
R139,184.405816,-76.25125,90.0,top
R14,164.122143,-93.4175,270.0,top
R140,184.405816,-92.3725,90.0,top
R141,196.27699,-76.03875,90.0,top
R142,196.22699,-91.99,90.0,top
R143,208.073163,-76.07625,90.0,top
R144,208.085663,-91.99,90.0,top
R145,219.919337,-75.995,90.0,top
R146,219.956837,-92.115,90.0,top
R147,231.80301,-76.25125,90.0,top
R148,231.82801,-92.1675,90.0,top
R149,243.624184,-76.395,90.0,top
R15,175.980816,-74.95125,90.0,top
R150,243.636684,-91.965,90.0,top
R151,255.495357,-76.15125,90.0,top
R152,255.495357,-92.39625,90.0,top
R153,172.559643,-80.4375,90.0,top
R154,172.572143,-96.3525,90.0,top
R155,184.380816,-80.25125,90.0,top
R156,184.380816,-96.4225,90.0,top
R157,196.30199,-80.08875,90.0,top
R158,196.25199,-95.94,90.0,top
R159,208.123163,-80.05125,90.0,top
R16,175.980816,-79.85125,90.0,top
R160,208.085663,-95.99,90.0,top
R161,219.919337,-79.995,90.0,top
R162,219.956837,-96.115,90.0,top
R163,231.77801,-80.22625,90.0,top
R164,231.82801,-96.2275,90.0,top
R165,243.624184,-80.395,90.0,top
R166,243.636684,-96.03,90.0,top
R167,255.495357,-80.15125,90.0,top
R168,255.445357,-96.49625,90.0,top
R17,175.980816,-77.27625,270.0,top
R18,176.030816,-91.1975,90.0,top
R19,176.030816,-96.1475,90.0,top
R2,205.764643,-128.2525,90.0,top
R20,175.980816,-93.3475,270.0,top
R21,187.82699,-74.96375,90.0,top
R22,187.82699,-79.80375,90.0,top
R23,187.75199,-77.23875,270.0,top
R24,187.85199,-90.715,90.0,top
R25,187.85199,-95.69,90.0,top
R26,187.77699,-93.065,270.0,top
R27,199.698163,-74.92625,90.0,top
R28,199.648163,-79.75125,90.0,top
R29,199.673163,-76.92625,270.0,top
R3,207.754643,-128.2525,90.0,top
R30,199.685663,-90.83,90.0,top
R31,199.685663,-95.74,90.0,top
R32,199.685663,-92.94,270.0,top
R33,211.494337,-74.83,90.0,top
R34,211.469337,-79.78,90.0,top
R35,211.494337,-76.945,270.0,top
R36,211.606837,-90.965,90.0,top
R37,211.606837,-95.715,90.0,top
R38,211.556837,-93.015,270.0,top
R39,223.40301,-75.00125,90.0,top
